frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
2434.837625829315,868460.0402177335,55112.75931223,870207.0200210954,803929.0808239705,-98456.95704407227,809935.639038592,434230.0201088775,401964.5404119855,94,30.692355416,1.4248875480494593e-10
2505.936168136362,856353.0277660848,48282.83306088223,857713.0873039806,697814.7735772344,-26981.103331114547,698336.1927894122,428176.5138830471,348907.38678862137,95,31.967908833,7.639012041878968e-11
2579.1108253615275,843723.0048448681,44783.062687431455,844910.6648682568,654939.7268865859,74192.30881098247,659128.6251870571,421861.50242238183,327469.8634432951,93,32.021534292,2.3402036649567945e-10
2654.422221154942,832320.4232299234,43905.56904620673,833477.6457223733,673494.0432952332,180319.9456962033,697215.5399659729,416160.21161496337,336747.02164761466,96,32.142904208,1.267897928741635e-10
2731.9327494092695,822216.7264451941,44325.13188292432,823410.6281574763,762357.1727574241,264732.1910389624,807013.9972930969,411108.36322233797,381178.58637870837,93,31.133486125,1.0597377645427521e-09
2811.706625951745,812694.527988972,46287.05251426917,814011.6013016502,919199.8231695232,262854.0657289817,956044.2326509473,406347.263994459,459599.9115847626,136,46.001100167,2.581849346567131e-11
2893.809941745604,805005.1477330903,50844.63100799866,806609.2389621595,1032331.6256575349,96004.17815357639,1036786.0857263047,402502.5738675231,516165.812828769,136,45.492269959,8.793822372330488e-11
2978.310717645051,801692.4576780001,56303.674121092554,803667.1577321835,926368.8877784434,-95681.75984101836,931297.1144646291,400846.2288389982,463184.4438892179,148,49.706371,4.945106143177497e-12
3065.2789607491036,802093.7124320202,58418.17995039502,804218.258479436,734007.4756689087,-97822.22068680878,740497.2391561918,401046.85621599166,367003.73783445545,142,47.348192375,2.1986112104109434e-11
3154.7867224009647,801306.4794168574,55520.59792190776,803227.6207583033,633986.7805893014,25439.522730182507,634496.9718436223,400653.2397083279,316993.3902946443,161,54.842217625,4.048447985749377e-12
3246.908157881056,795015.1391547468,51398.10584129932,796674.8626443002,652453.8807962018,168222.97416889278,673791.5372014197,397507.5695768645,326226.94039809564,163,55.384396625,7.363592594541544e-12
3341.719587843074,784105.8796921629,52146.40580091977,785837.9465295468,776733.9903271804,252899.9274014061,816868.4502471746,392052.9398453895,388366.99516358995,165,54.857358041,9.183923367811804e-12
3439.299561544037,774510.2827549755,60938.47405879643,776903.9037833487,935464.834524284,189916.20080845465,954548.3853430706,387255.1413775446,467732.41726213676,166,55.211409875,5.020059576070735e-12
3539.72892192069,773342.4468889089,74595.91546108146,776931.8443490405,949424.7598205626,5498.904641431989,949440.6840411825,386671.22344424267,474712.37991028425,171,58.359798958,1.218605782801707e-11
3643.0908725661366,782461.5788694043,83756.85711938777,786931.5939275272,795461.9656381912,-78711.28986423527,799346.7369853127,391230.78943425335,397730.9828190949,182,61.965037916,4.9597060817511814e-12
3749.4710466622787,792952.2514102702,80616.86643911983,797039.7431565627,661857.5510276023,3331.8493378306157,661865.9373863149,396476.1257053135,330928.7755138016,190,63.73045075,8.68649073104801e-12
3858.957577925063,791961.8726430055,71095.83414931962,795146.6690828828,653328.6306621977,156640.8591438378,671844.2218224861,395980.93632171437,326664.3153310909,192,64.061870709,6.583263691398934e-12
3971.6411736214063,780720.4742243632,70794.09807678108,783923.6335228193,800065.3122934852,258707.9719415912,840853.3276864658,390360.2371126743,400032.65614673786,195,65.335780208,6.1531750391652485e-12
4087.6151897182503,774648.0367885863,84061.94491102766,779195.7337425787,976637.2797368555,124652.41309760197,984560.1049518817,387324.01839414967,488318.6398684324,219,73.029115209,4.0237098669580454e-12
4206.975708225973,783826.0695156611,98509.75387454995,789992.0751886024,862996.7551919564,-66735.80537081353,865573.2592856232,391913.0347577486,431498.37759597803,233,78.50587775,5.191049720503679e-12
4329.821616800326,801088.8140110149,99146.98093123782,807200.973587962,694782.0039360792,-11607.339850541517,694878.9558850088,400544.40700556757,347391.00196804386,269,88.629838958,2.7013659924052876e-12
4456.2546906687285,808297.0309590673,86973.9369548094,812962.8256978682,675511.6350390203,138378.475807469,689539.3909269352,404148.51548018627,337755.8175195144,260,85.319952625,9.346744477771385e-12
4586.379676948896,800775.9532686899,80992.08291612491,804861.3823687104,813885.52656787,233245.67127079313,846648.2111970838,400387.9766343492,406942.76328393305,267,89.593996042,4.046569074948724e-12
4720.304381429617,796043.1981128699,90534.06600273366,801174.88126423,972808.5411016471,88947.44102738716,976866.4724032837,398021.5990562738,486404.27055082837,267,89.2773455,5.475239529538975e-12
4858.1397578855285,807680.5332067115,101351.1779974887,814014.6835300679,817189.476455823,-75651.66178532949,820683.7480790174,403840.2666031523,408594.7382279134,282,92.465885417,3.593199570366717e-12
5000.0,825395.143738322,95679.68850910754,830922.2262642906,672122.6537115877,49658.143829943205,673954.5925957788,412697.5718692476,336061.326855791,293,93.249379458,4.990191213652584e-12
